id,province_id,province,district_id,district,corregimiento_id,corregimiento,cabecera,inactive
1-1-1,1,Bocas del Toro,1,Bocas del Toro,1,Bocas del Toro,1,0
1-1-2,1,Bocas del Toro,1,Bocas del Toro,2,Bastimentos,0,0
1-1-3,1,Bocas del Toro,1,Bocas del Toro,3,Cauchero,0,0
1-1-4,1,Bocas del Toro,1,Bocas del Toro,4,Punta Laurel,0,0
1-1-5,1,Bocas del Toro,1,Bocas del Toro,5,Tierra Oscura,0,0
1-2-1,1,Bocas del Toro,2,Changuinola,1,Changuinola,1,0
1-2-3,1,Bocas del Toro,2,Changuinola,3,Guabito,0,0
1-2-4,1,Bocas del Toro,2,Changuinola,4,Teribe,0,0
1-2-5,1,Bocas del Toro,2,Changuinola,5,Valle de Riscó,0,1
1-2-6,1,Bocas del Toro,2,Changuinola,6,El Empalme,0,0
1-2-7,1,Bocas del Toro,2,Changuinola,7,Las Tablas,0,0
1-3-1,1,Bocas del Toro,3,Chiriquí Grande,1,Chiriquí Grande,1,0
1-3-2,1,Bocas del Toro,3,Chiriquí Grande,2,Miramar,0,0
1-3-3,1,Bocas del Toro,3,Chiriquí Grande,3,Punta Peña,0,0
1-3-4,1,Bocas del Toro,3,Chiriquí Grande,4,Punta Robalo,0,0
1-3-5,1,Bocas del Toro,3,Chiriquí Grande,5,Rambala,0,0
1-3-6,1,Bocas del Toro,3,Chiriquí Grande,6,Bajo del Cedro,0,0
1-4-1,1,Bocas del Toro,4,Almirante,1,Almirante,1,0
1-4-2,1,Bocas del Toro,4,Almirante,2,Barriada Guaymí,0,0
1-4-3,1,Bocas del Toro,4,Almirante,3,Barrio Francés,0,0
1-4-4,1,Bocas del Toro,4,Almirante,4,Nance de Riscó,0,0
1-4-5,1,Bocas del Toro,4,Almirante,5,Valle de Aguas Arriba,0,0
1-4-6,1,Bocas del Toro,4,Almirante,6,Valle de Riscó,0,0
2-1-1,2,Coclé,1,Aguadulce,1,Aguadulce,1,0
2-1-2,2,Coclé,1,Aguadulce,2,El Cristo,0,0
2-1-3,2,Coclé,1,Aguadulce,3,El Roble,0,0
2-1-4,2,Coclé,1,Aguadulce,4,Pocrí,0,0
2-1-5,2,Coclé,1,Aguadulce,5,Barrios Unidos,0,0
2-2-1,2,Coclé,2,Antón,1,Antón,1,0
2-2-2,2,Coclé,2,Antón,2,Cabuya,0,0
2-2-3,2,Coclé,2,Antón,3,El Chirú,0,0
2-2-4,2,Coclé,2,Antón,4,El Retiro,0,0
2-2-5,2,Coclé,2,Antón,5,El Valle,0,0
2-2-6,2,Coclé,2,Antón,6,Juan Díaz,0,0
2-2-7,2,Coclé,2,Antón,7,Río Hato,0,0
2-2-8,2,Coclé,2,Antón,8,San Juan de Dios,0,0
2-2-9,2,Coclé,2,Antón,9,Santa Rita,0,0
2-2-10,2,Coclé,2,Antón,10,Caballero,0,0
2-3-1,2,Coclé,3,La Pintada,1,La Pintada,1,0
2-3-2,2,Coclé,3,La Pintada,2,El Harino,0,0
2-3-3,2,Coclé,3,La Pintada,3,El Potrero,0,0
2-3-4,2,Coclé,3,La Pintada,4,Llano Grande,0,0
2-3-5,2,Coclé,3,La Pintada,5,Piedras Gordas,0,0
2-3-6,2,Coclé,3,La Pintada,6,Las Lomas,0,0
2-4-1,2,Coclé,4,Natá,1,Natá,1,0
2-4-2,2,Coclé,4,Natá,2,Capellanía,0,0
2-4-3,2,Coclé,4,Natá,3,El Caño,0,0
2-4-4,2,Coclé,4,Natá,4,Guzmán,0,0
2-4-5,2,Coclé,4,Natá,5,Las Huacas,0,0
2-4-6,2,Coclé,4,Natá,6,Toza,0,0
2-5-1,2,Coclé,5,Olá,1,Olá,1,0
2-5-2,2,Coclé,5,Olá,2,El Copé,0,0
2-5-3,2,Coclé,5,Olá,3,El Palmar,0,0
2-5-4,2,Coclé,5,Olá,4,El Picacho,0,0
2-5-5,2,Coclé,5,Olá,5,La Pava,0,0
2-6-1,2,Coclé,6,Penonomé,1,Penonomé,1,0
2-6-2,2,Coclé,6,Penonomé,2,Cañaveral,0,0
2-6-3,2,Coclé,6,Penonomé,3,Coclé,0,0
2-6-4,2,Coclé,6,Penonomé,4,Chiguirí Arriba,0,0
2-6-5,2,Coclé,6,Penonomé,5,El Coco,0,0
2-6-6,2,Coclé,6,Penonomé,6,Pajonal,0,0
2-6-7,2,Coclé,6,Penonomé,7,Río Grande,0,0
2-6-8,2,Coclé,6,Penonomé,8,Río Indio,0,0
2-6-9,2,Coclé,6,Penonomé,9,Toabré,0,0
2-6-10,2,Coclé,6,Penonomé,10,Tulú,0,0
3-1-1,3,Colón,1,Colón,1,Barrio Norte,0,0
3-1-2,3,Colón,1,Colón,2,Barrio Sur,0,0
3-1-3,3,Colón,1,Colón,3,Buena Vista,0,0
3-1-4,3,Colón,1,Colón,4,Cativá,0,0
3-1-5,3,Colón,1,Colón,5,Ciricito,0,0
3-1-6,3,Colón,1,Colón,6,Cristóbal,0,0
3-1-7,3,Colón,1,Colón,7,Escobal,0,0
3-1-8,3,Colón,1,Colón,8,Limón,0,0
3-1-9,3,Colón,1,Colón,9,Nueva Providencia,0,0
3-1-10,3,Colón,1,Colón,10,Puerto Pilón,0,0
3-1-11,3,Colón,1,Colón,11,Sabanitas,0,0
3-1-12,3,Colón,1,Colón,12,Salamanca,0,0
3-1-13,3,Colón,1,Colón,13,San Juan,0,0
3-1-14,3,Colón,1,Colón,14,Santa Rosa,0,0
3-1-15,3,Colón,1,Colón,15,Cristóbal Este,0,0
3-2-1,3,Colón,2,Chagres,1,Nuevo Chagres,1,0
3-2-2,3,Colón,2,Chagres,2,Achiote,0,0
3-2-3,3,Colón,2,Chagres,3,El Guabo,0,0
3-2-4,3,Colón,2,Chagres,4,La Encantada,0,0
3-2-5,3,Colón,2,Chagres,5,Palmas Bellas,0,0
3-2-6,3,Colón,2,Chagres,6,Piña,0,0
3-2-7,3,Colón,2,Chagres,7,Salud,0,0
3-3-1,3,Colón,3,Donoso,1,Miguel de La Borda,1,0
3-3-2,3,Colón,3,Donoso,2,Coclé del Norte,0,0
3-3-3,3,Colón,3,Donoso,3,El Guásimo,0,0
3-3-4,3,Colón,3,Donoso,4,Gobea,0,0
3-3-5,3,Colón,3,Donoso,5,Río Indio,0,0
3-3-6,3,Colón,3,Donoso,6,San José del General,0,0
3-4-1,3,Colón,4,Portobelo,1,Portobelo,1,0
3-4-2,3,Colón,4,Portobelo,2,Cacique,0,0
3-4-3,3,Colón,4,Portobelo,3,Garrote,0,0
3-4-4,3,Colón,4,Portobelo,4,Isla Grande,0,0
3-4-5,3,Colón,4,Portobelo,5,María Chiquita,0,0
3-5-1,3,Colón,5,Santa Isabel,1,Palenque,1,0
3-5-2,3,Colón,5,Santa Isabel,2,Cuango,0,0
3-5-3,3,Colón,5,Santa Isabel,3,Miramar,0,0
3-5-4,3,Colón,5,Santa Isabel,4,Nombre de Dios,0,0
3-5-5,3,Colón,5,Santa Isabel,5,Palmira,0,0
3-5-6,3,Colón,5,Santa Isabel,6,Playa Chiquita,0,0
3-5-7,3,Colón,5,Santa Isabel,7,Santa Isabel,0,0
3-5-8,3,Colón,5,Santa Isabel,8,Viento Frío,0,0
4-1-1,4,Chiriquí,1,Alanje,1,Alanje,1,0
4-1-2,4,Chiriquí,1,Alanje,2,Divalá,0,0
4-1-3,4,Chiriquí,1,Alanje,3,El Tejar,0,0
4-1-4,4,Chiriquí,1,Alanje,4,Guarumal,0,0
4-1-5,4,Chiriquí,1,Alanje,5,Palo Grande,0,0
4-1-6,4,Chiriquí,1,Alanje,6,Querévalo,0,0
4-1-7,4,Chiriquí,1,Alanje,7,Santo Tomás,0,0
4-1-8,4,Chiriquí,1,Alanje,8,Canta Gallo,0,0
4-1-9,4,Chiriquí,1,Alanje,9,Nuevo México,0,0
4-2-1,4,Chiriquí,2,Barú,1,Puerto Armuelles,1,0
4-2-2,4,Chiriquí,2,Barú,2,Limones,0,0
4-2-3,4,Chiriquí,2,Barú,3,Progreso,0,0
4-2-4,4,Chiriquí,2,Barú,4,Baco,0,0
4-2-5,4,Chiriquí,2,Barú,5,Rodolfo Aguilar Delgado,0,0
4-3-1,4,Chiriquí,3,Boquerón,1,Boquerón,1,0
4-3-2,4,Chiriquí,3,Boquerón,2,Bágala,0,0
4-3-3,4,Chiriquí,3,Boquerón,3,Cordillera,0,0
4-3-4,4,Chiriquí,3,Boquerón,4,Guabal,0,0
4-3-5,4,Chiriquí,3,Boquerón,5,Guayabal,0,0
4-3-6,4,Chiriquí,3,Boquerón,6,Paraíso,0,0
4-3-7,4,Chiriquí,3,Boquerón,7,Pedregal,0,0
4-3-8,4,Chiriquí,3,Boquerón,8,Tijeras,0,0
4-4-1,4,Chiriquí,4,Boquete,1,Bajo Boquete,1,0
4-4-2,4,Chiriquí,4,Boquete,2,Caldera,0,0
4-4-3,4,Chiriquí,4,Boquete,3,Palmira,0,0
4-4-4,4,Chiriquí,4,Boquete,4,Alto Boquete,0,0
4-4-5,4,Chiriquí,4,Boquete,5,Jaramillo,0,0
4-4-6,4,Chiriquí,4,Boquete,6,Los Naranjos,0,0
4-5-1,4,Chiriquí,5,Bugaba,1,La Concepción,1,0
4-5-2,4,Chiriquí,5,Bugaba,2,Aserrío de Gariché,0,0
4-5-3,4,Chiriquí,5,Bugaba,3,Bugaba,0,0
4-5-4,4,Chiriquí,5,Bugaba,4,Cerro Punta,0,1
4-5-5,4,Chiriquí,5,Bugaba,5,Gómez,0,0
4-5-6,4,Chiriquí,5,Bugaba,6,La Estrella,0,0
4-5-7,4,Chiriquí,5,Bugaba,7,San Andrés,0,0
4-5-8,4,Chiriquí,5,Bugaba,8,Santa Marta,0,0
4-5-9,4,Chiriquí,5,Bugaba,9,Santa Rosa,0,0
